Order_ID,Order_Date,Order_Time,Pickup_Time,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Category
abob199164126,2022-03-05,17:45:00,17:50:00,12.304569,76.643622,12.334569,76.673622,NULL
abow245133576,2022-03-25,23:45:00,23:55:00,23.351058,85.325731,23.421058,85.395731,NULL
abqq338264918,2022-03-26,10:30:00,10:40:00,23.351058,85.325731,23.361058,85.335731,NULL
abqs541661404,2022-03-26,10:10:00,10:20:00,19.121999,72.908493,19.131999,72.918493,NULL
abvi471090977,2022-03-28,14:45:00,15:00:00,12.321214,76.621094,12.361214,76.661094,NULL
abwe493376570,2022-02-11,21:35:00,21:50:00,15.516833,73.768172,15.566833,73.818172,NULL
accq452230322,2022-04-02,23:55:00,00:05:00,18.593481,73.785901,18.673481,73.865901,NULL
acew949155820,2022-04-06,20:15:00,20:30:00,23.355164,85.324097,23.425164,85.394097,NULL
acgy340892319,2022-03-11,17:35:00,17:50:00,12.935662,77.614130,12.965662,77.644130,NULL
acku373588054,2022-03-14,22:40:00,22:55:00,11.025083,77.015393,11.115083,77.105393,NULL
acmc954220734,2022-03-17,21:50:00,22:00:00,12.939496,77.625999,12.999496,77.685999,NULL
acnn902187983,2022-02-11,19:10:00,19:20:00,22.577821,88.400581,22.607821,88.430581,NULL
acos195619745,2022-04-02,22:55:00,23:00:00,13.049645,80.242268,13.159645,80.352268,NULL
acpd339792531,2022-03-20,23:00:00,23:10:00,13.086438,80.220672,13.156439,80.290672,NULL
acru554989602,2022-02-15,11:25:00,11:40:00,0.000000,0.000000,0.020000,0.020000,NULL
actq146986359,2022-03-13,08:50:00,08:55:00,0.000000,0.000000,0.020000,0.020000,NULL
acue250561912,2022-02-15,09:20:00,09:25:00,22.552672,88.352885,22.562672,88.362885,NULL
acvf279949995,2022-04-06,19:35:00,19:40:00,0.000000,0.000000,0.090000,0.090000,NULL
acwp515983829,2022-03-25,17:50:00,18:05:00,17.426228,78.407495,17.496228,78.477495,NULL
acxb886378425,2022-03-03,19:15:00,19:25:00,13.026279,80.174568,13.056279,80.204568,NULL
acye746242231,2022-03-17,18:40:00,18:50:00,12.934365,77.616155,12.984365,77.666155,NULL
adcv392099635,2022-02-11,09:00:00,09:10:00,0.000000,0.000000,0.020000,0.020000,NULL
addp276655174,2022-03-18,19:35:00,19:40:00,21.186608,72.794136,21.296608,72.904136,NULL
adea629384670,2022-03-25,19:00:00,19:15:00,12.323194,76.630583,12.393194,76.700583,NULL
adfy888496633,2022-03-01,08:25:00,08:40:00,13.027018,80.254791,13.047018,80.274791,NULL
adik676430530,2022-02-13,10:30:00,10:45:00,30.885814,75.786976,30.905814,75.806976,NULL
adiv498964791,2022-03-05,23:30:00,23:45:00,19.178321,72.834715,19.228321,72.884715,NULL
adkv706993015,2022-04-03,09:10:00,09:20:00,0.000000,0.000000,0.020000,0.020000,NULL
adme432106450,2022-03-24,17:10:00,17:15:00,23.357804,85.325146,23.407804,85.375146,NULL
adog450915345,2022-04-02,19:10:00,19:25:00,22.744648,75.894377,22.874648,76.024377,NULL
adqd085526339,2022-03-02,22:10:00,22:20:00,12.980410,77.640489,13.060410,77.720489,NULL
advk062637801,2022-03-29,20:45:00,21:00:00,26.849596,75.800512,26.939596,75.890512,NULL
advl575977438,2022-03-05,23:20:00,23:30:00,12.334022,76.618203,12.384022,76.668203,NULL
advl955943910,2022-03-05,22:20:00,22:30:00,19.181300,72.836191,19.211300,72.866191,NULL
adxx106727522,2022-02-15,16:55:00,17:00:00,22.537960,88.349843,22.577960,88.389843,NULL
aecg708259319,2022-03-12,21:10:00,21:15:00,26.913726,75.752820,26.983726,75.822820,NULL
aecv597151350,2022-04-06,18:55:00,19:05:00,26.905287,75.794592,27.035287,75.924592,NULL
aeex625062184,2022-04-04,22:00:00,22:10:00,17.411028,78.329645,17.491028,78.409645,NULL
aefs889604846,2022-04-03,08:10:00,08:20:00,0.000000,0.000000,0.020000,0.020000,NULL
aege753663438,2022-03-08,18:55:00,19:00:00,12.980410,77.640489,13.110410,77.770489,NULL
aegn029390607,2022-03-26,08:35:00,08:50:00,12.325461,76.632278,12.345461,76.652278,NULL
aehy234323130,2022-03-23,18:15:00,18:30:00,18.536562,73.896485,18.606562,73.966485,NULL
aejd159751885,2022-03-31,23:30:00,23:45:00,19.131141,72.813074,19.221141,72.903074,NULL
aele200255521,2022-04-02,19:40:00,19:55:00,11.000762,76.981876,11.080762,77.061876,NULL
aetv590613941,2022-03-30,21:30:00,21:35:00,21.149569,72.772697,21.179569,72.802697,NULL
aeuj226729421,2022-04-05,13:50:00,13:55:00,22.310237,73.158921,22.350237,73.198921,NULL
aeuu480256782,2022-02-11,19:00:00,19:10:00,30.319528,78.040267,30.349528,78.070267,NULL
aeuz262262868,2022-03-12,19:40:00,19:55:00,17.458998,78.500366,17.538998,78.580366,NULL
aevh121199077,2022-03-29,20:10:00,20:25:00,18.927584,72.832585,18.997584,72.902585,NULL
aewo417521773,2022-03-19,12:20:00,12:25:00,10.961850,76.971082,11.001850,77.011082,NULL
afei977775767,2022-03-28,22:25:00,22:40:00,23.351058,85.325731,23.411058,85.385731,NULL
afev271349180,2022-03-01,21:55:00,22:00:00,13.064181,80.236442,13.094181,80.266442,NULL
afgp746946194,2022-03-24,18:40:00,18:50:00,23.369746,85.339820,23.419746,85.389820,NULL
afkb977522406,2022-04-04,18:10:00,18:25:00,17.451976,78.385883,17.521976,78.455883,NULL
afng832168118,2022-03-08,21:30:00,21:40:00,12.323225,76.630028,12.393225,76.700028,NULL
afnw005460476,2022-03-26,23:15:00,23:30:00,19.103249,72.846749,19.163249,72.906749,NULL
afoj308698113,2022-03-12,17:15:00,17:20:00,22.750040,75.902847,22.880040,76.032847,NULL
afpy514693891,2022-03-26,17:15:00,17:20:00,26.913987,75.752891,26.943987,75.782891,NULL
afqi250784307,2022-03-02,19:00:00,19:15:00,17.455894,78.375467,17.585894,78.505467,NULL
afrd534901588,2022-03-21,20:35:00,20:50:00,10.994136,76.963303,11.024136,76.993303,NULL
afrf790422843,2022-03-01,10:20:00,10:30:00,18.927584,72.832585,18.947584,72.852585,NULL
afro653309727,2022-03-13,09:20:00,09:35:00,12.979096,77.640625,12.989096,77.650625,NULL
afrp039289877,2022-03-08,22:50:00,23:05:00,21.149569,72.772697,21.259569,72.882697,NULL
afsw032253642,2022-02-14,18:55:00,19:05:00,-22.553227,88.353273,22.643227,88.443273,NULL
aftp733644201,2022-03-31,21:25:00,21:40:00,18.516216,73.842527,18.626216,73.952527,NULL
afwb540962061,2022-03-11,22:40:00,22:45:00,22.320000,73.170000,22.380000,73.230000,NULL
afwy760129462,2022-03-02,20:30:00,20:40:00,26.914142,75.805704,27.024142,75.915704,NULL
afxc115927975,2022-02-13,21:00:00,21:10:00,9.991703,76.293136,10.051703,76.353136,NULL
afzq884992480,2022-02-12,19:55:00,20:05:00,30.902872,75.826808,30.992872,75.916808,NULL
agbn636090499,2022-03-29,17:40:00,17:45:00,13.026279,80.174568,13.106279,80.254568,NULL
agcz922462680,2022-03-19,08:20:00,08:30:00,22.311844,73.165081,22.331844,73.185081,NULL
agdj703229523,2022-03-31,19:45:00,19:55:00,19.120083,72.907385,19.210083,72.997385,NULL
agfa904495429,2022-03-19,19:15:00,19:20:00,17.428294,78.404423,17.478294,78.454423,NULL
aggb939717076,2022-03-20,19:20:00,19:30:00,11.025083,77.015393,11.155083,77.145393,NULL
aglx119743497,2022-03-19,17:45:00,17:50:00,18.593481,73.785901,18.643481,73.835901,NULL
agod908214672,2022-03-25,21:10:00,21:25:00,23.416792,85.316842,23.526792,85.426842,NULL
agoo012263585,2022-04-02,22:35:00,22:45:00,18.563934,73.915367,18.693935,74.045367,NULL
agpt364045296,2022-03-23,19:50:00,20:00:00,21.186608,72.794136,21.266608,72.874136,NULL
agse093347072,2022-04-02,20:55:00,21:10:00,0.000000,0.000000,0.070000,0.070000,NULL
agux910512982,2022-04-02,17:25:00,17:40:00,13.026286,80.275235,13.096286,80.345235,NULL
aguz904175473,2022-02-16,21:30:00,21:40:00,0.000000,0.000000,0.090000,0.090000,NULL
agyy194781693,2022-02-16,19:25:00,19:30:00,22.577821,88.400581,22.657821,88.480581,NULL
ahcl676711139,2022-03-14,21:15:00,21:25:00,26.892312,75.806896,26.972313,75.886896,NULL
ahfu489247466,2022-02-17,19:40:00,19:45:00,23.266261,77.379605,23.316261,77.429605,NULL
ahhj706703670,2022-03-26,23:25:00,23:40:00,23.374989,85.335486,23.424989,85.385486,NULL
ahje686520671,2022-02-13,17:40:00,17:50:00,26.479108,80.315042,26.529108,80.365042,NULL
ahkp753255601,2022-03-17,22:35:00,22:50:00,18.551440,73.804855,18.601440,73.854855,NULL
ahkr054292296,2022-03-21,18:35:00,18:50:00,18.554382,73.798206,18.584382,73.828206,NULL
ahoa941790520,2022-02-12,22:40:00,22:50:00,27.165108,78.015053,27.245108,78.095053,NULL
ahpb890775265,2022-03-06,23:20:00,23:25:00,13.005801,80.250744,13.085801,80.330744,NULL
ahpg083217029,2022-04-01,22:35:00,22:50:00,11.022477,76.995667,11.052477,77.025667,NULL
ahpp152173128,2022-03-30,13:00:00,13:05:00,12.304569,76.643622,12.344569,76.683622,NULL
ahps542567361,2022-03-18,23:15:00,23:20:00,12.972793,80.249982,13.102793,80.379982,NULL
ahpw889747350,2022-03-30,14:30:00,14:40:00,12.906229,77.596791,12.946229,77.636791,NULL
ahwm348254742,2022-03-11,12:55:00,13:10:00,17.438263,78.397865,17.478263,78.437865,NULL
ahwn366181932,2022-02-11,18:15:00,18:20:00,22.539129,88.365507,22.589129,88.415507,NULL
ahyp500038106,2022-03-19,22:45:00,22:55:00,21.185047,72.808590,21.215047,72.838590,NULL
aicr958430003,2022-03-26,18:00:00,18:05:00,18.592718,73.773572,18.652718,73.833572,NULL
aihb934158729,2022-03-04,21:55:00,22:05:00,21.157735,72.768778,21.227735,72.838778,NULL
aihu494319905,2022-03-25,19:35:00,19:45:00,18.554382,73.798206,18.624382,73.868206,NULL
aiib141157513,2022-04-04,17:40:00,17:55:00,10.994136,76.963303,11.104136,77.073303,NULL
ailz309468070,2022-03-02,23:50:00,00:00:00,11.008638,76.984311,11.138638,77.114311,NULL
ainp086991727,2022-03-10,23:50:00,00:00:00,12.352058,76.606650,12.442058,76.696650,NULL
aiqh949553167,2022-03-15,23:30:00,23:45:00,19.126630,72.829976,19.186630,72.889976,NULL
airk705743135,2022-03-27,23:35:00,23:45:00,19.126630,72.829976,19.206630,72.909976,NULL
airk995272292,2022-03-10,17:30:00,17:35:00,21.157729,72.768726,21.237729,72.848726,NULL
aitb076913492,2022-03-13,11:25:00,11:35:00,21.157735,72.768778,21.167735,72.778778,NULL
aitq102140228,2022-03-21,09:45:00,09:55:00,26.902908,75.792934,26.922908,75.812934,NULL
aizr284897223,2022-02-14,19:55:00,20:10:00,27.165108,78.015053,27.235108,78.085053,NULL
ajan991974392,2022-03-08,22:55:00,23:00:00,26.921411,75.793604,27.051411,75.923604,NULL
ajbk468346063,2022-03-30,16:55:00,17:05:00,21.152760,72.778059,21.192760,72.818059,NULL
ajcm919445936,2022-03-07,14:20:00,14:35:00,19.254567,72.848923,19.294567,72.888923,NULL
ajgz652829522,2022-02-17,11:15:00,11:25:00,0.000000,0.000000,0.020000,0.020000,NULL
ajhh623571054,2022-04-01,10:00:00,10:15:00,13.045479,80.233110,13.065479,80.253110,NULL
ajjj044200054,2022-04-02,19:15:00,19:25:00,19.109300,72.825451,19.189300,72.905451,NULL
ajon496915803,2022-03-24,23:15:00,23:25:00,22.651847,75.881991,22.681847,75.911991,NULL
ajpo799627024,2022-03-10,22:20:00,22:35:00,18.994237,72.825553,19.084237,72.915553,NULL
ajrd624305771,2022-03-06,21:55:00,22:10:00,17.424114,78.347554,17.494114,78.417554,NULL
ajtu664913183,2022-03-03,09:40:00,09:45:00,11.021278,76.995017,11.031278,77.005017,NULL
ajtw186321400,2022-03-26,10:30:00,10:40:00,19.221315,72.862381,19.231315,72.872381,NULL
ajuf507767249,2022-03-19,11:25:00,11:30:00,12.284747,76.625861,12.304747,76.645861,NULL
ajvg517178594,2022-04-06,21:55:00,22:05:00,23.374878,85.335739,23.464878,85.425739,NULL
ajwr274906805,2022-03-25,18:10:00,18:25:00,0.000000,0.000000,0.080000,0.080000,NULL
ajyq825232663,2022-03-17,17:20:00,17:35:00,21.186438,72.794115,21.216438,72.824115,NULL
akbb328960999,2022-03-06,22:10:00,22:15:00,17.426228,78.407495,17.506228,78.487495,NULL
akcj968770397,2022-03-21,17:45:00,17:50:00,22.744648,75.894377,22.774648,75.924377,NULL
akfr923039999,2022-03-09,10:15:00,10:25:00,22.311358,73.164798,22.331358,73.184798,NULL
akiq939430742,2022-02-14,23:55:00,00:05:00,19.876994,75.372353,19.946994,75.442353,NULL
akjb692987756,2022-03-20,23:50:00,00:00:00,21.160437,72.774209,21.230437,72.844209,NULL
akmf323300861,2022-03-21,19:00:00,19:10:00,18.551440,73.804855,18.601440,73.854855,NULL
akmp412397462,2022-02-13,09:00:00,09:10:00,0.000000,0.000000,0.020000,0.020000,NULL
akng874073176,2022-02-15,22:50:00,23:05:00,25.450317,81.831681,25.510317,81.891681,NULL
aknq817167127,2022-02-13,23:50:00,00:05:00,30.899584,75.809346,30.949584,75.859346,NULL
akoz380684866,2022-04-01,23:25:00,23:30:00,12.933284,77.615428,12.963284,77.645428,NULL
akpm800285210,2022-03-04,20:30:00,20:35:00,11.006686,76.951736,11.136686,77.081736,NULL
akqg208421122,2022-03-25,19:45:00,19:50:00,12.913041,77.683237,13.043041,77.813237,NULL
akqq297495316,2022-03-03,11:55:00,12:05:00,12.975996,80.221898,12.995996,80.241898,NULL
akqw622828124,2022-03-20,23:55:00,00:05:00,18.636215,73.751081,18.766215,73.881081,NULL
akzr822156606,2022-04-04,21:10:00,21:20:00,19.109300,72.825451,19.199300,72.915451,NULL
alag259381074,2022-03-20,21:35:00,21:45:00,21.186884,72.793616,21.316884,72.923616,NULL
alem833315854,2022-03-30,09:15:00,09:30:00,12.297954,76.665169,12.307954,76.675169,NULL
alkq951419967,2022-04-04,00:00:00,00:10:00,12.323978,76.627961,12.453978,76.757961,NULL
almf537761396,2022-03-23,19:00:00,19:10:00,22.310329,73.169083,22.390329,73.249083,NULL
almg235446249,2022-03-21,11:20:00,11:30:00,13.086438,80.220672,13.096438,80.230672,NULL
alon282873442,2022-03-07,11:20:00,11:35:00,11.008638,76.984311,11.028638,77.004311,NULL
alqb926190130,2022-03-23,22:20:00,22:25:00,21.186438,72.794115,21.266438,72.874115,NULL
alrg692296629,2022-03-15,10:35:00,10:45:00,12.979166,77.640709,12.989166,77.650709,NULL
alus351604002,2022-03-15,22:40:00,22:45:00,18.994049,72.825203,19.044049,72.875203,NULL
alwb941174831,2022-03-07,12:45:00,12:50:00,26.905287,75.794592,26.945287,75.834592,NULL
amah887761601,2022-04-03,11:35:00,11:40:00,11.024839,77.007003,11.034839,77.017003,NULL
amcm307073133,2022-03-06,17:10:00,17:15:00,12.980410,77.640489,13.050410,77.710489,NULL
ameo080110229,2022-04-04,18:00:00,18:05:00,26.914142,75.805704,27.054142,75.945704,NULL
amft401092052,2022-03-27,23:00:00,23:05:00,11.003669,76.976494,11.113669,77.086494,NULL
amgh950841121,2022-03-17,17:10:00,17:25:00,26.891191,75.802083,26.941191,75.852083,NULL
amgp017135976,2022-03-19,23:10:00,23:20:00,21.175975,72.795503,21.235975,72.855503,NULL
amic054506458,2022-04-02,18:50:00,19:05:00,21.157729,72.768726,21.287729,72.898726,NULL
amiy219549214,2022-03-13,18:40:00,18:55:00,18.554382,73.798206,18.614382,73.858206,NULL
ammh029929218,2022-03-23,18:35:00,18:40:00,23.359033,85.325347,23.449033,85.415347,NULL
amrq769389284,2022-04-05,17:15:00,17:30:00,17.483216,78.552111,17.543216,78.612111,NULL
amtp500000087,2022-03-03,23:20:00,23:25:00,19.120083,72.907385,19.170083,72.957385,NULL
amvm002616183,2022-04-01,09:25:00,09:30:00,26.905190,75.810753,26.915190,75.820753,NULL
amwf059147247,2022-03-15,22:40:00,22:45:00,0.000000,0.000000,0.060000,0.060000,NULL
amwt677706239,2022-02-11,09:45:00,09:55:00,30.319528,78.040267,30.339528,78.060267,NULL
amyw589998560,2022-02-12,22:00:00,22:15:00,30.342509,78.061187,30.472509,78.191187,NULL
amzd031927650,2022-04-06,22:10:00,22:25:00,11.016298,76.972076,11.096298,77.052076,NULL
ance309027229,2022-03-11,15:55:00,16:05:00,0.000000,0.000000,0.040000,0.040000,NULL
anch150166322,2022-03-05,16:15:00,16:30:00,0.000000,0.000000,0.040000,0.040000,NULL
anch674529926,2022-04-05,22:30:00,22:45:00,12.933298,77.614293,12.993298,77.674293,NULL
andk554363662,2022-03-29,21:40:00,21:45:00,13.029198,77.570997,13.109198,77.650997,NULL
aneb826374014,2022-03-19,18:55:00,19:10:00,13.029198,77.570997,13.059198,77.600997,NULL
anfx475383342,2022-03-03,10:25:00,10:35:00,26.888420,75.800689,26.898420,75.810689,NULL
anjo428097275,2022-03-13,18:00:00,18:15:00,0.000000,0.000000,0.060000,0.060000,NULL
anor917488789,2022-03-28,22:45:00,23:00:00,12.323994,76.626167,12.383994,76.686167,NULL
anpt462079169,2022-03-27,17:35:00,17:50:00,23.371292,85.327872,23.481292,85.437872,NULL
ansq900419156,2022-03-15,18:10:00,18:25:00,26.913726,75.752820,26.973726,75.812821,NULL
aobs904628093,2022-03-24,12:10:00,12:20:00,12.326356,76.619103,12.366356,76.659103,NULL
aoei508277147,2022-03-19,08:30:00,08:45:00,12.337978,76.616792,12.357978,76.636792,NULL
aoeu819614254,2022-03-13,14:00:00,14:10:00,12.323225,76.630028,12.363225,76.670028,NULL
aofo547687840,2022-03-16,23:25:00,23:35:00,21.149834,72.778666,21.259834,72.888666,NULL
aohs577613497,2022-02-16,18:40:00,18:45:00,22.539129,88.365507,22.649129,88.475507,NULL
aohy742998839,2022-02-12,21:40:00,21:50:00,30.362686,78.068890,30.472686,78.178890,NULL
aojy502636702,2022-03-18,22:50:00,23:00:00,22.761593,75.886362,22.841593,75.966362,NULL
aokn153705465,2022-03-15,14:25:00,14:30:00,12.939496,77.625999,12.979496,77.665999,NULL
aonm178579992,2022-03-26,23:20:00,23:30:00,19.121999,72.908493,19.171999,72.958493,NULL
aotk945659321,2022-03-17,12:50:00,13:05:00,17.431477,78.400350,17.471477,78.440350,NULL
aovh846299386,2022-04-06,19:15:00,19:25:00,11.001753,76.986241,11.071753,77.056241,NULL
aovp255957361,2022-03-18,17:45:00,18:00:00,0.000000,0.000000,0.110000,0.110000,NULL
aowb319664016,2022-03-28,21:10:00,21:25:00,12.352058,76.606650,12.402058,76.656650,NULL
aowk807540561,2022-04-06,23:55:00,00:05:00,21.175975,72.795503,21.255975,72.875503,NULL
aoxf722882442,2022-02-11,22:45:00,22:55:00,0.000000,0.000000,0.060000,0.060000,NULL
aozd095262266,2022-03-28,22:25:00,22:35:00,12.970324,77.645748,13.000324,77.675748,NULL
aozl672518026,2022-03-11,23:00:00,23:15:00,18.569156,73.774723,18.629156,73.834723,NULL
apgu802166518,2022-03-08,22:40:00,22:55:00,22.310329,73.169083,22.400329,73.259083,NULL
apje850796288,2022-02-12,23:35:00,23:50:00,19.879631,75.323403,19.959631,75.403403,NULL
apjx849510845,2022-02-13,15:35:00,15:50:00,22.569367,88.433187,22.609367,88.473187,NULL
apki722398260,2022-02-13,21:40:00,21:55:00,25.459775,81.834841,25.519775,81.894841,NULL
apkt395706889,2022-03-05,21:55:00,22:05:00,18.554382,73.798206,18.614382,73.858206,NULL
apll985655975,2022-03-24,13:20:00,13:35:00,18.636215,73.751081,18.676215,73.791081,NULL
apnb628093576,2022-04-04,20:50:00,21:00:00,12.323194,76.630583,12.453194,76.760583,NULL
appd193432141,2022-03-13,22:10:00,22:20:00,12.316967,76.603067,12.366967,76.653067,NULL
apqq921006912,2022-03-21,16:35:00,16:50:00,12.949934,77.699386,12.989934,77.739386,NULL
aprd039444420,2022-02-18,17:55:00,18:10:00,-22.526461,88.364453,22.596461,88.434453,NULL
apvq241593959,2022-03-16,21:10:00,21:15:00,21.183434,72.814492,21.263434,72.894492,NULL
apwn701267106,2022-02-15,18:20:00,18:30:00,25.450329,81.834279,25.480329,81.864279,NULL
apwt250614513,2022-04-02,19:20:00,19:25:00,11.006686,76.951736,11.136686,77.081736,NULL
apxj850967676,2022-03-28,21:15:00,21:25:00,22.310329,73.169083,22.340329,73.199083,NULL
apzw816500736,2022-03-24,12:45:00,12:50:00,18.554382,73.798206,18.594382,73.838206,NULL
aqim282018080,2022-02-17,18:15:00,18:20:00,23.184992,77.417227,23.244992,77.477227,NULL
aqog647157554,2022-03-27,18:55:00,19:05:00,12.304569,76.643622,12.384569,76.723622,NULL
aqrc122176188,2022-04-06,17:25:00,17:30:00,22.308096,73.167753,22.388096,73.247753,NULL
aqrh384906339,2022-03-30,17:25:00,17:40:00,12.972161,77.596014,13.022161,77.646014,NULL
aqts420291981,2022-03-19,21:35:00,21:50:00,0.000000,0.000000,0.050000,0.050000,NULL
aqxr742477619,2022-03-02,20:20:00,20:35:00,11.003681,76.975525,11.093681,77.065525,NULL
arak571261208,2022-02-16,18:40:00,18:55:00,25.457116,81.859682,25.547116,81.949682,NULL
arch811530420,2022-04-02,18:50:00,19:00:00,12.326356,76.619103,12.456356,76.749103,NULL
arfc267340549,2022-02-14,20:45:00,20:55:00,23.184992,77.417227,23.274992,77.507227,NULL
arhn746606233,2022-03-08,22:15:00,22:25:00,26.902328,75.794257,27.012328,75.904257,NULL
arht318769985,2022-03-24,21:20:00,21:35:00,21.157735,72.768778,21.187735,72.798778,NULL
arju604853928,2022-03-13,18:30:00,18:45:00,21.183434,72.814492,21.233434,72.864492,NULL
arkh000130357,2022-03-25,19:30:00,19:35:00,17.451976,78.385883,17.541976,78.475883,NULL
armn575734910,2022-04-05,11:40:00,11:55:00,18.543626,73.905101,18.553626,73.915101,NULL
arqg177458586,2022-03-29,23:00:00,23:10:00,22.311358,73.164798,22.441358,73.294798,NULL
arsb910440313,2022-03-03,09:00:00,09:15:00,12.979096,77.640625,12.989096,77.650625,NULL
arsz464843014,2022-04-02,22:20:00,22:35:00,0.000000,0.000000,0.070000,0.070000,NULL
arvq298657934,2022-03-21,16:45:00,16:55:00,17.431477,78.400350,17.471477,78.440350,NULL
arzm873669196,2022-02-17,20:50:00,21:00:00,9.979363,76.285001,10.029363,76.335001,NULL
asap133806803,2022-03-07,14:40:00,14:45:00,23.333017,85.317200,23.373017,85.357200,NULL
ascm835829286,2022-03-27,17:25:00,17:30:00,21.149669,72.772629,21.219669,72.842629,NULL
aset874066253,2022-04-06,23:15:00,23:20:00,17.431668,78.408321,17.541668,78.518321,NULL
asfc297548679,2022-03-06,19:15:00,19:25:00,12.970324,77.645748,13.080324,77.755748,NULL
asgd164341326,2022-03-26,09:40:00,09:45:00,12.933284,77.615428,12.953284,77.635428,NULL
asia167933869,2022-03-13,23:35:00,23:40:00,23.333017,85.317200,23.363017,85.347200,NULL
asis944862845,2022-02-11,23:25:00,23:35:00,15.513150,73.783460,15.563150,73.833460,NULL
asjo708497246,2022-03-09,19:25:00,19:40:00,0.000000,0.000000,0.060000,0.060000,NULL
asks124101912,2022-03-13,23:20:00,23:30:00,22.753839,75.897429,22.813838,75.957429,NULL
asnk847350381,2022-04-05,17:25:00,17:35:00,13.045479,80.233110,13.095479,80.283110,NULL
asnu416116358,2022-03-26,17:55:00,18:10:00,18.534080,73.898520,18.584080,73.948520,NULL
asro608257493,2022-03-03,10:15:00,10:25:00,19.207222,72.972281,19.227222,72.992281,NULL
asuj408617671,2022-03-25,18:30:00,18:35:00,22.310329,73.169083,22.380329,73.239083,NULL
aswm215264211,2022-03-09,10:25:00,10:40:00,12.323978,76.627961,12.343978,76.647961,NULL
aswm895417682,2022-02-18,22:00:00,22:10:00,15.569600,73.742294,15.659600,73.832294,NULL
asxx347950179,2022-03-20,21:25:00,21:30:00,22.744648,75.894377,22.854648,76.004377,NULL
atdd040421445,2022-03-07,23:35:00,23:45:00,23.369746,85.339820,23.399746,85.369820,NULL
atdz954767847,2022-03-23,22:25:00,22:40:00,22.725748,75.898497,22.805747,75.978497,NULL
atfe691525472,2022-03-09,19:55:00,20:10:00,23.351489,85.324253,23.401489,85.374253,NULL
atgc248887447,2022-03-01,09:50:00,10:05:00,26.766536,75.837333,26.786536,75.857333,NULL
atic223355684,2022-02-18,21:10:00,21:15:00,22.514585,88.393310,22.624585,88.503310,NULL
ativ684738536,2022-03-21,09:50:00,09:55:00,23.374878,85.335739,23.394878,85.355739,NULL
atkn254878368,2022-03-05,19:40:00,19:45:00,12.321214,76.621094,12.371214,76.671094,NULL
atlo588843752,2022-03-05,18:25:00,18:30:00,23.357804,85.325146,23.417804,85.385146,NULL
atlw889300648,2022-03-05,08:10:00,08:20:00,23.374989,85.335486,23.394989,85.355486,NULL
atlx350228685,2022-03-14,18:50:00,19:05:00,12.972161,77.596014,13.062161,77.686014,NULL
atre445476415,2022-03-25,19:30:00,19:40:00,22.310526,73.170937,22.390526,73.250937,NULL
